changeTeamBtnText|调整队伍
DailyQuestIsComplete|你已经做过每日任务，请明天再来。
GetActivityRankingDataFail|获取排行榜信息错误。
EnterWorldBossFail|数据异常，不能进入世界战场。
NetworkingFail|联网失败。
NotWorldBossCount|你已经没有进入世界Boss的机会了。
amountDamage|伤害值
planeAlertMODE_ICEdes|你已经解锁了寒冰星球。
planeAlertMODE_ICEinfo|到处是冰川和积雪，死亡在这里将得到永恒。
planeAlertMODE_TECHdes|你已经解锁了机械星球。
planeAlertMODE_TECHinfo|冰冷的钢铁森林就是这里的一切。
planeAlertMODE_ASTEROIDdes|你已经解锁了潘多拉星球。
planeAlertMODE_ASTEROIDinfo|美丽的丛林都暗藏杀机。
planeAlertMODE_NOVEdes|你解锁了一个新的难度！
planeAlertMODE_NOVEinfo|这里有更强大的武器和敌人。
planeAlertMODE_SUPERdes|你解锁了一个新的难度！
planeAlertMODE_SUPERinfo|最好的武器都在这里，如果你能拿到。
YourRanking|你的排名：
NoSelfRanking|暂无排名
WorldBossReward|世界Boss已经被击杀，你在这次活动中排名：#，奖励@绿币。
